n_vec,ACC_EA,ACC_COCBA,ACC_Alg1,ACC_Alg2,ACC_Alg3,ACC_Alg4
2.5,0.142236,0.142236,0.142236,0.142236,0.142236,0.142236
7.5,0.096732,0.046238,0.039752,0.031552,0.031538,0.035802
12.5,0.07481,0.023466,0.023748,0.012312,0.010666,0.014226
17.5,0.061084,0.012958,0.019572,0.006428,0.003698,0.006172
22.5,0.05009,0.00735,0.018372,0.003906,0.001336,0.002828
27.5,0.042368,0.00418,0.01786,0.002606,0.000462,0.001414
32.5,0.03606,0.002434,0.017562,0.001864,0.000178,0.00072
37.5,0.030888,0.00145,0.017342,0.00133,7.8e-05,0.000388
42.5,0.026574,0.000848000000000001,0.017182,0.000974,3.4e-05,0.000214
47.5,0.0232,0.000524,0.01705,0.000758,1e-05,0.000118
