T_idx,FNR_EA,FNR_COCBA,FNR_Alg1,FNR_Alg2,FNR_Alg3,FNR_Alg4,FNR_Alg5
0.7,0.2141,0.2141,0.2141,0.2141,0.2141,0.2141,0.085
0.9,0.1959,0.1399,0.2417,0.1371,0.1185,0.1044,0.0406
1.1,0.1698,0.1149,0.2256,0.1113,0.0886,0.0784,0.0276
1.3,0.1556,0.1003,0.2132,0.0947,0.0737,0.0623,0.022
1.5,0.1448,0.0913,0.2009,0.0849,0.063,0.0521,0.0181
1.7,0.1319,0.0839,0.1909,0.0761,0.0539,0.0453,0.0151
1.9,0.1259,0.0779,0.1826,0.069,0.0478,0.0402,0.0133
2.1,0.1148,0.0729,0.1767,0.0637,0.0425,0.035,0.0114
2.3,0.1109,0.0677,0.1703,0.0587,0.0387,0.0321,0.0094
2.5,0.1044,0.0643,0.1685,0.0543,0.0352,0.0293,0.0084
2.7,0.1005,0.0617,0.1637,0.05,0.0319,0.0269,0.0072
2.9,0.0964,0.0585,0.1609,0.0466,0.03,0.0247,0.0066
3.1,0.0928,0.0559,0.1589,0.044,0.0278,0.0227,0.0058
3.3,0.0912,0.0529,0.1564,0.0411,0.0263,0.0214,0.0049
3.5,0.0861,0.051,0.1536,0.0392,0.0243,0.0199,0.0044
3.7,0.083,0.049,0.1508,0.0372,0.0229,0.0187,0.0041
3.9,0.0794,0.0476,0.1499,0.0355,0.0215,0.0176,0.0036
4.1,0.0775,0.0456,0.1485,0.0341,0.0203,0.0166,0.0032
4.3,0.0756,0.0444,0.147,0.0327,0.0198,0.0155,0.003
4.5,0.0723,0.0429,0.1459,0.0316,0.0183,0.0147,0.0027
4.7,0.0704,0.0419,0.1443,0.0306,0.0176,0.0139,0.0024
4.9,0.0682,0.0408,0.1428,0.0296,0.0167,0.0134,0.0022
