n_vec,FNR_EA,FNR_COCBA,FNR_Alg1,FNR_Alg2,FNR_Alg3,FNR_Alg4
2.5,0.52672,0.52672,0.52672,0.52672,0.52672,0.52672
7.5,0.35538,0.1695,0.12426,0.08576,0.1093,0.0987
12.5,0.2737,0.08594,0.04844,0.03124,0.0407,0.03684
17.5,0.21872,0.04626,0.02062,0.01278,0.0181,0.0172
22.5,0.18028,0.02664,0.00938,0.00580000000000001,0.00868000000000001,0.00794000000000001
27.5,0.15248,0.01464,0.00412000000000001,0.00256,0.00416000000000001,0.00366
32.5,0.12822,0.00876000000000001,0.00208,0.00118,0.00212,0.00162
37.5,0.11172,0.00486000000000001,0.000860000000000001,0.00062,0.001,0.000880000000000001
42.5,0.0962,0.00266,0.0004,0.0003,0.00046,0.0004
47.5,0.08484,0.0015,0.0002,0.0002,0.00022,0.00014
52.5,0.07298,0.0008,6e-05,6e-05,0.00012,6e-05
57.5,0.0631,0.00056,4e-05,6e-05,0.0001,0
62.5,0.05638,0.00036,0,2e-05,0,0
67.5,0.04912,0.00024,0,2e-05,0,0
72.5,0.0434,0.00018,0,2e-05,0,0
77.5,0.03776,8e-05,0,0,0,0
