n_vec,ACC_EA,ACC_COCBA,ACC_Alg1,ACC_Alg2,ACC_Alg3,ACC_Alg4
2.5,0.1520416,0.1520416,0.1520416,0.1520416,0.1520416,0.1520416
7.5,0.10274,0.049492,0.0323624,0.0272048,0.0292808,0.0345192
12.5,0.0789288,0.0251384,0.0118688,0.0093328,0.0099288,0.0137648
17.5,0.0632592,0.013476,0.0048648,0.0036872,0.0040312,0.0066304
22.5,0.0523552,0.0076928,0.0021944,0.0016416,0.0018304,0.0033064
27.5,0.0443632,0.0042304,0.00096,0.0007568,0.000851199999999999,0.001724
32.5,0.0375144,0.0025232,0.0004752,0.0003736,0.0004304,0.0009048
37.5,0.0325328,0.001428,0.0001976,0.0001992,0.0002016,0.0005088
42.5,0.0280176,0.000796,8.64e-05,9.2e-05,9.2e-05,0.0002976
47.5,0.024832,0.0004472,4.96e-05,5.6e-05,4.4e-05,0.0001624
52.5,0.0214376,0.0002576,1.68e-05,2e-05,2.4e-05,0.0001032
57.5,0.0187704,0.0001728,9.6e-06,1.36e-05,2e-05,6.4e-05
62.5,0.0165832,0.000112,0,5.6e-06,0,4.64e-05
67.5,0.014544,6.88e-05,1.6e-06,4e-06,0,2.72e-05
72.5,0.01276,4.88e-05,1.6e-06,4e-06,0,1.76e-05
77.5,0.0111248,2.4e-05,0,0,0,1.28e-05
