n_vec,ACC_EA,ACC_COCBA,ACC_Alg1,ACC_Alg2,ACC_Alg3,ACC_Alg4
2.5,0.1520912,0.1520912,0.1520912,0.1520912,0.1520912,0.1520912
7.5,0.1034048,0.0495352,0.0384792,0.0319856,0.03284,0.0360028
12.5,0.0795816,0.0253332,0.0206184,0.011584,0.010734,0.0131352
17.5,0.064374,0.0137356,0.0157292,0.0055668,0.003664,0.0054596
22.5,0.0531784,0.0077744,0.0141808,0.0032168,0.0013352,0.0024816
27.5,0.0450804,0.0044104,0.0136272,0.0020184,0.0005084,0.0012164
32.5,0.0385148,0.002536,0.0132864,0.001308,0.000166,0.0006428
37.5,0.0329016,0.001456,0.013102,0.0009488,5.48e-05,0.0003756
42.5,0.0285996,0.000854,0.012994,0.0007316,2.16e-05,0.0002152
47.5,0.0249084,0.0004568,0.0129136,0.0005852,5.6e-06,0.0001376
52.5,0.0216384,0.0002576,0.0128396,0.000445199999999999,4e-06,9.36e-05
57.5,0.0188828,0.0001484,0.0127636,0.0003528,0,5.76e-05
62.5,0.0165916,8.36e-05,0.0127036,0.0002972,0,4e-05
67.5,0.0147644,5.08e-05,0.0126636,0.0002552,0,1.76e-05
72.5,0.0132076,3.2e-05,0.01261,0.000214,0,1.12e-05
77.5,0.0117068,1.6e-05,0.01257,0.00018,0,8e-06
