n_vec,FNR_EA,FNR_COCBA,FNR_Alg1,FNR_Alg2,FNR_Alg3,FNR_Alg4
2.5,0.52836,0.52836,0.52836,0.52836,0.52836,0.52836
7.5,0.359,0.17274,0.15698,0.1136,0.12368,0.11583
12.5,0.27682,0.0879700000000001,0.0941800000000001,0.04456,0.04291,0.04038
17.5,0.22263,0.04743,0.0761100000000001,0.02265,0.01532,0.01529
22.5,0.18394,0.0268,0.07004,0.01362,0.00578,0.00584
27.5,0.15605,0.01534,0.06776,0.00894,0.00227,0.00225
32.5,0.13379,0.00872,0.06628,0.0059,0.000750000000000001,0.000870000000000001
37.5,0.11462,0.005,0.06543,0.00436,0.00025,0.00035
42.5,0.0991100000000001,0.00295,0.0649300000000001,0.00345000000000001,0.0001,0.0001
47.5,0.0858300000000001,0.00142,0.0645600000000001,0.00283,2e-05,4e-05
52.5,0.0752400000000001,0.000800000000000001,0.0641900000000001,0.00217,2e-05,2e-05
57.5,0.06551,0.00047,0.0638100000000001,0.00174,0,0
62.5,0.05759,0.00025,0.06351,0.00147,0,0
67.5,0.05155,0.00015,0.06331,0.00126,0,0
72.5,0.04559,8e-05,0.0630500000000001,0.00107,0,0
77.5,0.04043,4e-05,0.0628500000000001,0.000900000000000001,0,0
